Article_number,Topics_A,Promoting_collective_gains_A,Preventing_collective_losses_A,Topics_B,Promoting_collective_gains_B,Preventing_collective_losses_B
1,Community events,1,0,Others,1,0
2,Community events,0,0,Others,0,0
3,Arts,0,0,Arts,0,0
4,Housing,0,0,Housing,0,0
5,Housing,1,0,Housing,1,0
6,Political representation,0,1,Political representation,1,0
7,Political representation,0,0,Political representation,1,0
8,Political representation,0,1,Political representation,1,0
9,Community events,1,1,Asian stereotype,1,1
10,Arts,0,0,Arts,0,0
11,Others,0,0,Others,0,0
12,Employment,1,0,Labor union,0,0
13,Housing,0,1,Housing,0,1
14,Housing,0,0,Housing,0,1
15,Housing,0,0,Community events,0,0
16,International business,0,0,Others,0,0
17,Political representation,0,0,Community events,0,0
18,Housing,0,0,Housing,0,0
19,The Redress Movement,1,1,Community events,0,0
20,Healthcare,1,0,Healthcare,1,0
21,Healthcare,1,0,Community events,0,0
22,Community events,0,0,Others,0,0
23,Community events,1,0,Others,0,0
24,Political representation,0,1,Anti-U.S. foreign policy,0,0
25,Healthcare,1,0,Healthcare,1,0
26,Arts,0,0,Arts,0,0
27,Employment,0,0,Others,0,0
28,Hate crimes,0,1,Others,0,0
29,Community events,0,0,Community events,0,0
30,Labor union,1,1,Labor union,1,0
31,Housing,0,0,Community events,0,0
32,Housing,0,0,Others,0,0
33,Housing,0,0,Others,0,0
34,Employment,0,1,Employment,1,1
35,Community events,0,0,Employment,0,0
36,Employment,0,1,Affirmative action,0,1
37,Arts,1,1,Community events,0,0
38,Housing,0,1,Housing,0,0
39,Labor union,0,1,Labor Union,1,0
40,Others,0,1,Employment,0,1
41,Community events,0,0,Others,0,0
42,Employment,0,0,Others,0,0
43,Anti-U.S. foreign policy,0,0,Anti-U.S. foreign policy,0,0
44,Employment,0,0,Labor Union,1,0
45,Housing,0,0,Others,0,0
46,Others,0,0,Others,0,1
47,Housing,0,0,Housing,0,0
48,Arts,0,0,Others,0,0
49,Community events,0,0,Community events,0,0
50,Arts,0,0,Others,0,0
51,Healthcare,0,0,Employment,0,0
52,Employment,0,1,Labor Union,0,1
53,Labor union,0,1,Employment,0,1
54,Arts,0,0,Others,0,0
55,Housing,1,0,Others,0,0
56,Community events,0,0,Community events,0,0
57,Labor union,0,1,Labor Union,0,1
58,Housing,0,0,Housing,1,0
59,Housing,0,0,Others,0,0
60,Community events,0,0,Others,0,0
61,Community events,1,0,Community events,0,0
62,Affirmative action,1,0,Others,,0
63,Community events,0,0,Others,0,0
64,The Redress Movement,1,0,Community events,0,0
65,Arts,0,0,Others,0,0
66,Housing,0,0,Housing,0,0
67,Healthcare,1,0,Others,0,0
68,Others,0,0,Others,0,0
69,Community events,0,0,Community events,0,0
70,Labor union,1,0,Others,0,0
71,Community events,0,0,Others,0,0
